"State","2013_Urbanization","Year","Deaths","Population"
"Alabama","Large Central Metro",1999,69,312162
"Alabama","Large Central Metro",2000,57,312089
"Alabama","Large Central Metro",2001,58,311442
"Alabama","Large Central Metro",2002,63,310623
"Alabama","Large Central Metro",2003,60,310915
"Alabama","Large Central Metro",2004,65,309997
"Alabama","Large Central Metro",2005,66,309487
"Alabama","Large Central Metro",2006,55,309988
"Alabama","Large Central Metro",2007,54,309756
"Alabama","Large Central Metro",2008,88,310548
"Alabama","Large Central Metro",2009,83,311766
"Alabama","Large Central Metro",2010,54,311813
"Alabama","Large Central Metro",2011,76,311688
"Alabama","Large Central Metro",2012,73,312146
"Alabama","Large Central Metro",2013,66,312151
"Alabama","Large Central Metro",2014,59,312043
"Alabama","Large Central Metro",2015,78,311844
"Alabama","Large Central Metro",2016,68,312112
"Alabama","Large Fringe Metro",1999,42,189845
"Alabama","Large Fringe Metro",2000,56,192828
"Alabama","Large Fringe Metro",2001,33,197102
"Alabama","Large Fringe Metro",2002,40,200410
"Alabama","Large Fringe Metro",2003,45,204610
"Alabama","Large Fringe Metro",2004,45,208849
"Alabama","Large Fringe Metro",2005,36,213348
"Alabama","Large Fringe Metro",2006,64,219037
"Alabama","Large Fringe Metro",2007,72,223711
"Alabama","Large Fringe Metro",2008,48,227965
"Alabama","Large Fringe Metro",2009,59,231224
"Alabama","Large Fringe Metro",2010,76,232400
"Alabama","Large Fringe Metro",2011,60,233977
"Alabama","Large Fringe Metro",2012,66,235468
"Alabama","Large Fringe Metro",2013,55,237269
"Alabama","Large Fringe Metro",2014,68,238219
"Alabama","Large Fringe Metro",2015,65,238949
"Alabama","Large Fringe Metro",2016,64,240094
"Alabama","Medium Metro",1999,105,547795
"Alabama","Medium Metro",2000,110,550325
"Alabama","Medium Metro",2001,102,554744
"Alabama","Medium Metro",2002,92,557569
"Alabama","Medium Metro",2003,92,560695
"Alabama","Medium Metro",2004,105,564410
"Alabama","Medium Metro",2005,104,570913
"Alabama","Medium Metro",2006,121,581921
"Alabama","Medium Metro",2007,101,589736
"Alabama","Medium Metro",2008,102,597131
"Alabama","Medium Metro",2009,123,604583
"Alabama","Medium Metro",2010,141,609605
"Alabama","Medium Metro",2011,131,615523
"Alabama","Medium Metro",2012,143,619430
"Alabama","Medium Metro",2013,136,620898
"Alabama","Medium Metro",2014,147,622768
"Alabama","Medium Metro",2015,154,624522
"Alabama","Medium Metro",2016,176,625666
"Alabama","Micropolitan (non-metro)",1999,50,247065
"Alabama","Micropolitan (non-metro)",2000,60,248044
"Alabama","Micropolitan (non-metro)",2001,45,248276
"Alabama","Micropolitan (non-metro)",2002,49,248641
"Alabama","Micropolitan (non-metro)",2003,44,249474
"Alabama","Micropolitan (non-metro)",2004,48,250559
"Alabama","Micropolitan (non-metro)",2005,51,251886
"Alabama","Micropolitan (non-metro)",2006,57,253644
"Alabama","Micropolitan (non-metro)",2007,63,255375
"Alabama","Micropolitan (non-metro)",2008,55,257425
"Alabama","Micropolitan (non-metro)",2009,64,258640
"Alabama","Micropolitan (non-metro)",2010,60,259321
"Alabama","Micropolitan (non-metro)",2011,66,259040
"Alabama","Micropolitan (non-metro)",2012,69,259998
"Alabama","Micropolitan (non-metro)",2013,74,259547
"Alabama","Micropolitan (non-metro)",2014,75,259007
"Alabama","Micropolitan (non-metro)",2015,82,258473
"Alabama","Micropolitan (non-metro)",2016,83,257677
"Alabama","NonCore (non-metro)",1999,68,314059
"Alabama","NonCore (non-metro)",2000,78,314879
"Alabama","NonCore (non-metro)",2001,63,313663
"Alabama","NonCore (non-metro)",2002,71,312641
"Alabama","NonCore (non-metro)",2003,67,312321
"Alabama","NonCore (non-metro)",2004,58,311669
"Alabama","NonCore (non-metro)",2005,64,311610
"Alabama","NonCore (non-metro)",2006,54,312758
"Alabama","NonCore (non-metro)",2007,57,313319
"Alabama","NonCore (non-metro)",2008,54,313776
"Alabama","NonCore (non-metro)",2009,75,314142
"Alabama","NonCore (non-metro)",2010,79,313269
"Alabama","NonCore (non-metro)",2011,54,311230
"Alabama","NonCore (non-metro)",2012,85,308798
"Alabama","NonCore (non-metro)",2013,84,307773
"Alabama","NonCore (non-metro)",2014,77,306079
"Alabama","NonCore (non-metro)",2015,68,304742
"Alabama","NonCore (non-metro)",2016,77,302822
"Alabama","Small Metro",1999,125,525956
"Alabama","Small Metro",2000,110,528339
"Alabama","Small Metro",2001,114,532911
"Alabama","Small Metro",2002,100,535835
"Alabama","Small Metro",2003,117,541407
"Alabama","Small Metro",2004,123,547388
"Alabama","Small Metro",2005,118,556138
"Alabama","Small Metro",2006,133,566153
"Alabama","Small Metro",2007,123,573668
"Alabama","Small Metro",2008,136,581104
"Alabama","Small Metro",2009,139,589424
"Alabama","Small Metro",2010,128,593780
"Alabama","Small Metro",2011,143,598033
"Alabama","Small Metro",2012,150,602717
"Alabama","Small Metro",2013,153,607709
"Alabama","Small Metro",2014,143,611851
"Alabama","Small Metro",2015,143,614654
"Alabama","Small Metro",2016,156,617215
"Alaska","Medium Metro",1999,28,161475
"Alaska","Medium Metro",2000,36,162499
"Alaska","Medium Metro",2001,33,165895
"Alaska","Medium Metro",2002,37,169211
"Alaska","Medium Metro",2003,48,171586
"Alaska","Medium Metro",2004,53,175401
"Alaska","Medium Metro",2005,44,178520
"Alaska","Medium Metro",2006,46,182399
"Alaska","Medium Metro",2007,55,183012
"Alaska","Medium Metro",2008,48,186606
"Alaska","Medium Metro",2009,47,189871
"Alaska","Medium Metro",2010,55,194249
"Alaska","Medium Metro",2011,44,197214
"Alaska","Medium Metro",2012,63,200650
"Alaska","Medium Metro",2013,58,204109
"Alaska","Medium Metro",2014,66,206055
"Alaska","Medium Metro",2015,77,206953
"Alaska","Medium Metro",2016,68,206669
"Alaska","NonCore (non-metro)",1999,34,95569
"Alaska","NonCore (non-metro)",2000,63,95738
"Alaska","NonCore (non-metro)",2001,35,95196
"Alaska","NonCore (non-metro)",2002,52,95804
"Alaska","NonCore (non-metro)",2003,35,95917
"Alaska","NonCore (non-metro)",2004,47,96621
"Alaska","NonCore (non-metro)",2005,49,97306
"Alaska","NonCore (non-metro)",2006,40,97678
"Alaska","NonCore (non-metro)",2007,47,98275
"Alaska","NonCore (non-metro)",2008,61,98554
"Alaska","NonCore (non-metro)",2009,45,99531
"Alaska","NonCore (non-metro)",2010,59,100987
"Alaska","NonCore (non-metro)",2011,48,102413
"Alaska","NonCore (non-metro)",2012,54,103574
"Alaska","NonCore (non-metro)",2013,58,103590
"Alaska","NonCore (non-metro)",2014,51,103724
"Alaska","NonCore (non-metro)",2015,57,104041
"Alaska","NonCore (non-metro)",2016,50,103441
"Alaska","Small Metro",1999,10,43617
"Alaska","Small Metro",2003,12,45430
"Alaska","Small Metro",2004,12,46931
"Alaska","Small Metro",2006,11,47686
"Alaska","Small Metro",2007,14,49507
"Alaska","Small Metro",2008,21,50204
"Alaska","Small Metro",2009,10,50039
"Alaska","Small Metro",2011,14,52271
"Alaska","Small Metro",2012,16,53348
"Alaska","Small Metro",2013,15,54020
"Alaska","Small Metro",2014,17,53759
"Alaska","Small Metro",2015,14,54176
"Alaska","Small Metro",2016,21,54411
"Arizona","Large Central Metro",1999,295,1500956
"Arizona","Large Central Metro",2000,330,1536473
"Arizona","Large Central Metro",2001,329,1587412
"Arizona","Large Central Metro",2002,383,1625459
"Arizona","Large Central Metro",2003,371,1659523
"Arizona","Large Central Metro",2004,368,1702730
"Arizona","Large Central Metro",2005,403,1761241
"Arizona","Large Central Metro",2006,389,1811757
"Arizona","Large Central Metro",2007,439,1843843
"Arizona","Large Central Metro",2008,403,1870984
"Arizona","Large Central Metro",2009,402,1883894
"Arizona","Large Central Metro",2010,442,1888465
"Arizona","Large Central Metro",2011,478,1920775
"Arizona","Large Central Metro",2012,468,1950188
"Arizona","Large Central Metro",2013,481,1984173
"Arizona","Large Central Metro",2014,490,2019993
"Arizona","Large Central Metro",2015,501,2059860
"Arizona","Large Central Metro",2016,528,2097992
"Arizona","Large Fringe Metro",1999,19,92145
"Arizona","Large Fringe Metro",2000,23,95830
"Arizona","Large Fringe Metro",2001,25,100243
"Arizona","Large Fringe Metro",2002,26,105272
"Arizona","Large Fringe Metro",2003,34,111239
"Arizona","Large Fringe Metro",2004,36,117166
"Arizona","Large Fringe Metro",2005,28,125047
"Arizona","Large Fringe Metro",2006,36,143523
"Arizona","Large Fringe Metro",2007,36,161839
"Arizona","Large Fringe Metro",2008,42,176750
"Arizona","Large Fringe Metro",2009,45,184143
"Arizona","Large Fringe Metro",2010,55,197165
"Arizona","Large Fringe Metro",2011,44,200651
"Arizona","Large Fringe Metro",2012,37,203338
"Arizona","Large Fringe Metro",2013,46,203169
"Arizona","Large Fringe Metro",2014,52,209818
"Arizona","Large Fringe Metro",2015,56,211982
"Arizona","Large Fringe Metro",2016,53,217364
"Arizona","Medium Metro",1999,121,405258
"Arizona","Medium Metro",2000,108,412562
"Arizona","Medium Metro",2001,106,420222
"Arizona","Medium Metro",2002,114,427926
"Arizona","Medium Metro",2003,106,433476
"Arizona","Medium Metro",2004,101,441731
"Arizona","Medium Metro",2005,115,451334
"Arizona","Medium Metro",2006,134,461831
"Arizona","Medium Metro",2007,120,469282
"Arizona","Medium Metro",2008,110,475167
"Arizona","Medium Metro",2009,124,479012
"Arizona","Medium Metro",2010,151,481437
"Arizona","Medium Metro",2011,134,486993
"Arizona","Medium Metro",2012,144,488415
"Arizona","Medium Metro",2013,144,490683
"Arizona","Medium Metro",2014,138,494061
"Arizona","Medium Metro",2015,154,496438
"Arizona","Medium Metro",2016,135,499479
"Arizona","Micropolitan (non-metro)",1999,37,108474
"Arizona","Micropolitan (non-metro)",2000,21,109767
"Arizona","Micropolitan (non-metro)",2001,39,110381
"Arizona","Micropolitan (non-metro)",2002,45,111909
"Arizona","Micropolitan (non-metro)",2003,39,112676
"Arizona","Micropolitan (non-metro)",2004,32,113704
"Arizona","Micropolitan (non-metro)",2005,41,115421
"Arizona","Micropolitan (non-metro)",2006,43,117626
"Arizona","Micropolitan (non-metro)",2007,43,120331
"Arizona","Micropolitan (non-metro)",2008,27,121934
"Arizona","Micropolitan (non-metro)",2009,39,122920
"Arizona","Micropolitan (non-metro)",2010,37,122946
"Arizona","Micropolitan (non-metro)",2011,48,122969
"Arizona","Micropolitan (non-metro)",2012,49,122660
"Arizona","Micropolitan (non-metro)",2013,44,122497
"Arizona","Micropolitan (non-metro)",2014,41,123288
"Arizona","Micropolitan (non-metro)",2015,47,123031
"Arizona","Micropolitan (non-metro)",2016,55,123906
"Arizona","NonCore (non-metro)",1999,17,48967
"Arizona","NonCore (non-metro)",2000,16,48988
"Arizona","NonCore (non-metro)",2001,11,48181
"Arizona","NonCore (non-metro)",2002,13,47689
"Arizona","NonCore (non-metro)",2003,16,48134
"Arizona","NonCore (non-metro)",2004,22,48270
"Arizona","NonCore (non-metro)",2005,15,48596
"Arizona","NonCore (non-metro)",2006,21,49242
"Arizona","NonCore (non-metro)",2007,16,49492
"Arizona","NonCore (non-metro)",2008,20,49844
"Arizona","NonCore (non-metro)",2009,16,50428
"Arizona","NonCore (non-metro)",2010,30,50626
"Arizona","NonCore (non-metro)",2011,29,50993
"Arizona","NonCore (non-metro)",2012,26,51247
"Arizona","NonCore (non-metro)",2013,28,50755
"Arizona","NonCore (non-metro)",2014,29,50746
"Arizona","NonCore (non-metro)",2015,21,50584
"Arizona","NonCore (non-metro)",2016,22,51280
"Arizona","Small Metro",1999,114,349724
"Arizona","Small Metro",2000,130,357437
"Arizona","Small Metro",2001,112,365362
"Arizona","Small Metro",2002,134,373783
"Arizona","Small Metro",2003,102,381239
"Arizona","Small Metro",2004,135,393197
"Arizona","Small Metro",2005,143,406627
"Arizona","Small Metro",2006,143,419028
"Arizona","Small Metro",2007,144,425896
"Arizona","Small Metro",2008,138,430405
"Arizona","Small Metro",2009,168,432849
"Arizona","Small Metro",2010,153,435184
"Arizona","Small Metro",2011,161,441490
"Arizona","Small Metro",2012,167,442635
"Arizona","Small Metro",2013,152,443842
"Arizona","Small Metro",2014,195,445941
"Arizona","Small Metro",2015,188,449595
"Arizona","Small Metro",2016,192,452874
"Arkansas","Large Fringe Metro",2005,10,23937
"Arkansas","Medium Metro",1999,111,531794
"Arkansas","Medium Metro",2000,106,540062
"Arkansas","Medium Metro",2001,125,550942
"Arkansas","Medium Metro",2002,123,559064
"Arkansas","Medium Metro",2003,110,568792
"Arkansas","Medium Metro",2004,131,580543
"Arkansas","Medium Metro",2005,122,593683
"Arkansas","Medium Metro",2006,125,609159
"Arkansas","Medium Metro",2007,131,621690
"Arkansas","Medium Metro",2008,132,632275
"Arkansas","Medium Metro",2009,129,642367
"Arkansas","Medium Metro",2010,150,650836
"Arkansas","Medium Metro",2011,157,661971
"Arkansas","Medium Metro",2012,140,669870
"Arkansas","Medium Metro",2013,172,677983
"Arkansas","Medium Metro",2014,174,684513
"Arkansas","Medium Metro",2015,192,691968
"Arkansas","Medium Metro",2016,187,698983
"Arkansas","Micropolitan (non-metro)",1999,53,271107
"Arkansas","Micropolitan (non-metro)",2000,63,272802
"Arkansas","Micropolitan (non-metro)",2001,60,272864
"Arkansas","Micropolitan (non-metro)",2002,70,273180
"Arkansas","Micropolitan (non-metro)",2003,67,272996
"Arkansas","Micropolitan (non-metro)",2004,47,273793
"Arkansas","Micropolitan (non-metro)",2005,62,275328
"Arkansas","Micropolitan (non-metro)",2006,64,278424
"Arkansas","Micropolitan (non-metro)",2007,69,280042
"Arkansas","Micropolitan (non-metro)",2008,70,281304
"Arkansas","Micropolitan (non-metro)",2009,77,282553
"Arkansas","Micropolitan (non-metro)",2010,72,283257
"Arkansas","Micropolitan (non-metro)",2011,75,283377
"Arkansas","Micropolitan (non-metro)",2012,82,283680
"Arkansas","Micropolitan (non-metro)",2013,108,282379
"Arkansas","Micropolitan (non-metro)",2014,80,281682
"Arkansas","Micropolitan (non-metro)",2015,102,281569
"Arkansas","Micropolitan (non-metro)",2016,89,280841
"Arkansas","NonCore (non-metro)",1999,71,291541
"Arkansas","NonCore (non-metro)",2000,72,292329
"Arkansas","NonCore (non-metro)",2001,75,290887
"Arkansas","NonCore (non-metro)",2002,74,289853
"Arkansas","NonCore (non-metro)",2003,75,290071
"Arkansas","NonCore (non-metro)",2004,81,290276
"Arkansas","NonCore (non-metro)",2005,72,290674
"Arkansas","NonCore (non-metro)",2006,78,290682
"Arkansas","NonCore (non-metro)",2007,72,290055
"Arkansas","NonCore (non-metro)",2008,84,289753
"Arkansas","NonCore (non-metro)",2009,73,288960
"Arkansas","NonCore (non-metro)",2010,74,289091
"Arkansas","NonCore (non-metro)",2011,85,288298
"Arkansas","NonCore (non-metro)",2012,107,286669
"Arkansas","NonCore (non-metro)",2013,87,285334
"Arkansas","NonCore (non-metro)",2014,78,283248
"Arkansas","NonCore (non-metro)",2015,86,281280
"Arkansas","NonCore (non-metro)",2016,83,279621
"Arkansas","Small Metro",1999,36,173911
"Arkansas","Small Metro",2000,37,175264
"Arkansas","Small Metro",2001,46,175796
"Arkansas","Small Metro",2002,41,176456
"Arkansas","Small Metro",2003,45,177425
"Arkansas","Small Metro",2004,29,178062
"Arkansas","Small Metro",2005,48,179180
"Arkansas","Small Metro",2006,40,181028
"Arkansas","Small Metro",2007,45,181406
"Arkansas","Small Metro",2008,38,182837
"Arkansas","Small Metro",2009,54,183675
"Arkansas","Small Metro",2010,57,184287
"Arkansas","Small Metro",2011,48,185127
"Arkansas","Small Metro",2012,55,184576
"Arkansas","Small Metro",2013,50,184354
"Arkansas","Small Metro",2014,68,184405
"Arkansas","Small Metro",2015,63,184815
"Arkansas","Small Metro",2016,53,184937
"California","Large Central Metro",1999,1455,10758262
"California","Large Central Metro",2000,1401,10860548
"California","Large Central Metro",2001,1381,11037589
"California","Large Central Metro",2002,1487,11133449
"California","Large Central Metro",2003,1541,11211603
"California","Large Central Metro",2004,1502,11281616
"California","Large Central Metro",2005,1422,11329418
"California","Large Central Metro",2006,1468,11357906
"California","Large Central Metro",2007,1616,11409187
"California","Large Central Metro",2008,1700,11516339
"California","Large Central Metro",2009,1646,11626547
"California","Large Central Metro",2010,1748,11709368
"California","Large Central Metro",2011,1730,11859170
"California","Large Central Metro",2012,1764,11986106
"California","Large Central Metro",2013,1795,12092797
"California","Large Central Metro",2014,1858,12235300
"California","Large Central Metro",2015,1814,12353576
"California","Large Central Metro",2016,1896,12376405
"California","Large Fringe Metro",1999,330,2069968
"California","Large Fringe Metro",2000,306,2097744
"California","Large Fringe Metro",2001,309,2149299
"California","Large Fringe Metro",2002,317,2178038
"California","Large Fringe Metro",2003,393,2208550
"California","Large Fringe Metro",2004,337,2243867
"California","Large Fringe Metro",2005,347,2276775
"California","Large Fringe Metro",2006,338,2298666
"California","Large Fringe Metro",2007,329,2319470
"California","Large Fringe Metro",2008,406,2342982
"California","Large Fringe Metro",2009,428,2365549
"California","Large Fringe Metro",2010,436,2386559
"California","Large Fringe Metro",2011,414,2422102
"California","Large Fringe Metro",2012,421,2447220
"California","Large Fringe Metro",2013,381,2467475
"California","Large Fringe Metro",2014,406,2496777
"California","Large Fringe Metro",2015,396,2521540
"California","Large Fringe Metro",2016,473,2535647
"California","Medium Metro",1999,427,2955038
"California","Medium Metro",2000,425,2992811
"California","Medium Metro",2001,429,3060217
"California","Medium Metro",2002,477,3109751
"California","Medium Metro",2003,506,3154874
"California","Medium Metro",2004,479,3195781
"California","Medium Metro",2005,451,3231309
"California","Medium Metro",2006,490,3261221
"California","Medium Metro",2007,555,3291440
"California","Medium Metro",2008,521,3326143
"California","Medium Metro",2009,570,3360077
"California","Medium Metro",2010,553,3392012
"California","Medium Metro",2011,603,3434822
"California","Medium Metro",2012,584,3456642
"California","Medium Metro",2013,618,3478598
"California","Medium Metro",2014,656,3509898
"California","Medium Metro",2015,651,3538986
"California","Medium Metro",2016,643,3551476
"California","Micropolitan (non-metro)",1999,67,270964
"California","Micropolitan (non-metro)",2000,84,272702
"California","Micropolitan (non-metro)",2001,70,276360
"California","Micropolitan (non-metro)",2002,90,278850
"California","Micropolitan (non-metro)",2003,76,282313
"California","Micropolitan (non-metro)",2004,76,284518
"California","Micropolitan (non-metro)",2005,81,286843
"California","Micropolitan (non-metro)",2006,102,288024
"California","Micropolitan (non-metro)",2007,90,289433
"California","Micropolitan (non-metro)",2008,91,290491
"California","Micropolitan (non-metro)",2009,106,291368
"California","Micropolitan (non-metro)",2010,97,292060
"California","Micropolitan (non-metro)",2011,92,290944
"California","Micropolitan (non-metro)",2012,98,288991
"California","Micropolitan (non-metro)",2013,108,286501
"California","Micropolitan (non-metro)",2014,105,286508
"California","Micropolitan (non-metro)",2015,112,286394
"California","Micropolitan (non-metro)",2016,92,286091
"California","NonCore (non-metro)",1999,36,132434
"California","NonCore (non-metro)",2000,44,132973
"California","NonCore (non-metro)",2001,38,133779
"California","NonCore (non-metro)",2002,42,135534
"California","NonCore (non-metro)",2003,35,137591
"California","NonCore (non-metro)",2004,51,138795
"California","NonCore (non-metro)",2005,53,140170
"California","NonCore (non-metro)",2006,40,141242
"California","NonCore (non-metro)",2007,55,141711
"California","NonCore (non-metro)",2008,47,141478
"California","NonCore (non-metro)",2009,54,141656
"California","NonCore (non-metro)",2010,49,141586
"California","NonCore (non-metro)",2011,61,140647
"California","NonCore (non-metro)",2012,49,139115
"California","NonCore (non-metro)",2013,50,137532
"California","NonCore (non-metro)",2014,54,136936
"California","NonCore (non-metro)",2015,64,136776
"California","NonCore (non-metro)",2016,57,137362
"California","Small Metro",1999,110,512377
"California","Small Metro",2000,91,518114
"California","Small Metro",2001,100,527991
"California","Small Metro",2002,104,537759
"California","Small Metro",2003,111,548719
"California","Small Metro",2004,101,558584
"California","Small Metro",2005,114,567198
"California","Small Metro",2006,140,576672
"California","Small Metro",2007,125,584144
"California","Small Metro",2008,130,589932
"California","Small Metro",2009,105,592957
"California","Small Metro",2010,146,596245
"California","Small Metro",2011,145,600642
"California","Small Metro",2012,131,600490
"California","Small Metro",2013,130,601293
"California","Small Metro",2014,155,603485
"California","Small Metro",2015,137,605796
"California","Small Metro",2016,136,606380
"Colorado","Large Central Metro",1999,51,276369
"Colorado","Large Central Metro",2000,71,280207
"Colorado","Large Central Metro",2001,56,284264
"Colorado","Large Central Metro",2002,63,280858
"Colorado","Large Central Metro",2003,58,277621
"Colorado","Large Central Metro",2004,66,276761
"Colorado","Large Central Metro",2005,71,276368
"Colorado","Large Central Metro",2006,61,278847
"Colorado","Large Central Metro",2007,74,282423
"Colorado","Large Central Metro",2008,69,287997
"Colorado","Large Central Metro",2009,82,294402
"Colorado","Large Central Metro",2010,81,300089
"Colorado","Large Central Metro",2011,75,310474
"Colorado","Large Central Metro",2012,94,317515
"Colorado","Large Central Metro",2013,69,325245
"Colorado","Large Central Metro",2014,76,331919
"Colorado","Large Central Metro",2015,75,341693
"Colorado","Large Central Metro",2016,90,347176
"Colorado","Large Fringe Metro",1999,160,781884
"Colorado","Large Fringe Metro",2000,148,799719
"Colorado","Large Fringe Metro",2001,211,826298
"Colorado","Large Fringe Metro",2002,204,841999
"Colorado","Large Fringe Metro",2003,215,863677
"Colorado","Large Fringe Metro",2004,230,874917
"Colorado","Large Fringe Metro",2005,237,886084
"Colorado","Large Fringe Metro",2006,220,903246
"Colorado","Large Fringe Metro",2007,240,920639
"Colorado","Large Fringe Metro",2008,229,936971
"Colorado","Large Fringe Metro",2009,252,952761
"Colorado","Large Fringe Metro",2010,226,964461
"Colorado","Large Fringe Metro",2011,260,983628
"Colorado","Large Fringe Metro",2012,287,999491
"Colorado","Large Fringe Metro",2013,249,1018681
"Colorado","Large Fringe Metro",2014,292,1040355
"Colorado","Large Fringe Metro",2015,283,1061705
"Colorado","Large Fringe Metro",2016,307,1076386
"Colorado","Medium Metro",1999,114,620664
"Colorado","Medium Metro",2000,144,633645
"Colorado","Medium Metro",2001,165,659335
"Colorado","Medium Metro",2002,149,671438
"Colorado","Medium Metro",2003,156,663268
"Colorado","Medium Metro",2004,178,673829
"Colorado","Medium Metro",2005,184,682842
"Colorado","Medium Metro",2006,146,698871
"Colorado","Medium Metro",2007,164,708935
"Colorado","Medium Metro",2008,167,721847
"Colorado","Medium Metro",2009,217,732602
"Colorado","Medium Metro",2010,206,745087
"Colorado","Medium Metro",2011,201,761953
"Colorado","Medium Metro",2012,252,775306
"Colorado","Medium Metro",2013,236,790183
"Colorado","Medium Metro",2014,274,805506
"Colorado","Medium Metro",2015,295,823786
"Colorado","Medium Metro",2016,296,839706
"Colorado","Micropolitan (non-metro)",1999,41,170498
"Colorado","Micropolitan (non-metro)",2000,45,174076
"Colorado","Micropolitan (non-metro)",2001,48,178496
"Colorado","Micropolitan (non-metro)",2002,64,181244
"Colorado","Micropolitan (non-metro)",2003,46,182814
"Colorado","Micropolitan (non-metro)",2004,40,184216
"Colorado","Micropolitan (non-metro)",2005,54,186332
"Colorado","Micropolitan (non-metro)",2006,49,190176
"Colorado","Micropolitan (non-metro)",2007,52,194061
"Colorado","Micropolitan (non-metro)",2008,69,198038
"Colorado","Micropolitan (non-metro)",2009,69,201722
"Colorado","Micropolitan (non-metro)",2010,58,201246
"Colorado","Micropolitan (non-metro)",2011,56,201021
"Colorado","Micropolitan (non-metro)",2012,59,201145
"Colorado","Micropolitan (non-metro)",2013,76,201964
"Colorado","Micropolitan (non-metro)",2014,71,202927
"Colorado","Micropolitan (non-metro)",2015,59,204042
"Colorado","Micropolitan (non-metro)",2016,65,206156
"Colorado","NonCore (non-metro)",1999,44,150518
"Colorado","NonCore (non-metro)",2000,38,152161
"Colorado","NonCore (non-metro)",2001,46,152456
"Colorado","NonCore (non-metro)",2002,55,154317
"Colorado","NonCore (non-metro)",2003,46,154481
"Colorado","NonCore (non-metro)",2004,49,155154
"Colorado","NonCore (non-metro)",2005,44,154574
"Colorado","NonCore (non-metro)",2006,49,155488
"Colorado","NonCore (non-metro)",2007,45,156309
"Colorado","NonCore (non-metro)",2008,42,157763
"Colorado","NonCore (non-metro)",2009,63,158859
"Colorado","NonCore (non-metro)",2010,44,158712
"Colorado","NonCore (non-metro)",2011,46,158014
"Colorado","NonCore (non-metro)",2012,51,157471
"Colorado","NonCore (non-metro)",2013,73,157482
"Colorado","NonCore (non-metro)",2014,72,157030
"Colorado","NonCore (non-metro)",2015,67,158125
"Colorado","NonCore (non-metro)",2016,77,160652
"Colorado","Small Metro",1999,43,124727
"Colorado","Small Metro",2000,49,126175
"Colorado","Small Metro",2001,45,129133
"Colorado","Small Metro",2002,49,131885
"Colorado","Small Metro",2003,50,133657
"Colorado","Small Metro",2004,48,135625
"Colorado","Small Metro",2005,44,137450
"Colorado","Small Metro",2006,32,140835
"Colorado","Small Metro",2007,57,145068
"Colorado","Small Metro",2008,43,148054
"Colorado","Small Metro",2009,46,151139
"Colorado","Small Metro",2010,49,151067
"Colorado","Small Metro",2011,66,152105
"Colorado","Small Metro",2012,68,152777
"Colorado","Small Metro",2013,47,152891
"Colorado","Small Metro",2014,58,153422
"Colorado","Small Metro",2015,66,154412
"Colorado","Small Metro",2016,72,155742
"Connecticut","Large Central Metro",1999,62,410063
"Connecticut","Large Central Metro",2000,65,412276
"Connecticut","Large Central Metro",2001,59,415181
"Connecticut","Large Central Metro",2002,45,417673
"Connecticut","Large Central Metro",2003,56,420861
"Connecticut","Large Central Metro",2004,61,421570
"Connecticut","Large Central Metro",2005,56,423754
"Connecticut","Large Central Metro",2006,52,425423
"Connecticut","Large Central Metro",2007,47,427396
"Connecticut","Large Central Metro",2008,58,428746
"Connecticut","Large Central Metro",2009,71,430685
"Connecticut","Large Central Metro",2010,75,432013
"Connecticut","Large Central Metro",2011,67,432843
"Connecticut","Large Central Metro",2012,75,434525
"Connecticut","Large Central Metro",2013,63,435597
"Connecticut","Large Central Metro",2014,60,435638
"Connecticut","Large Central Metro",2015,76,434963
"Connecticut","Large Central Metro",2016,52,433638
"Connecticut","Large Fringe Metro",1999,25,142311
"Connecticut","Large Fringe Metro",2000,27,143977
"Connecticut","Large Fringe Metro",2001,17,146203
"Connecticut","Large Fringe Metro",2002,16,149230
"Connecticut","Large Fringe Metro",2003,19,151543
"Connecticut","Large Fringe Metro",2004,17,152630
"Connecticut","Large Fringe Metro",2005,29,153506
"Connecticut","Large Fringe Metro",2006,23,154836
"Connecticut","Large Fringe Metro",2007,18,155583
"Connecticut","Large Fringe Metro",2008,23,157128
"Connecticut","Large Fringe Metro",2009,25,157734
"Connecticut","Large Fringe Metro",2010,29,158071
"Connecticut","Large Fringe Metro",2011,36,158131
"Connecticut","Large Fringe Metro",2012,36,156803
"Connecticut","Large Fringe Metro",2013,14,156596
"Connecticut","Large Fringe Metro",2014,30,156424
"Connecticut","Large Fringe Metro",2015,21,155967
"Connecticut","Large Fringe Metro",2016,30,155625
"Connecticut","Medium Metro",1999,118,998280
"Connecticut","Medium Metro",2000,138,1004022
"Connecticut","Medium Metro",2001,131,1012559
"Connecticut","Medium Metro",2002,131,1020335
"Connecticut","Medium Metro",2003,123,1026693
"Connecticut","Medium Metro",2004,138,1031460
"Connecticut","Medium Metro",2005,131,1035012
"Connecticut","Medium Metro",2006,141,1036557
"Connecticut","Medium Metro",2007,129,1039417
"Connecticut","Medium Metro",2008,144,1045491
"Connecticut","Medium Metro",2009,125,1051183
"Connecticut","Medium Metro",2010,154,1056192
"Connecticut","Medium Metro",2011,168,1061005
"Connecticut","Medium Metro",2012,141,1066313
"Connecticut","Medium Metro",2013,157,1069897
"Connecticut","Medium Metro",2014,167,1071349
"Connecticut","Medium Metro",2015,172,1070254
"Connecticut","Medium Metro",2016,186,1066147
"Connecticut","Micropolitan (non-metro)",1999,12,88599
"Connecticut","Micropolitan (non-metro)",2000,13,89044
